"Id";"Name";"State";"SubscriptionId";"TenantId";"CurrentStorageAccountName";"ExtendedProperties";"CurrentStorageAccount"
"145a0666-0f09-4b9b-9522-3f70695bbd73";"TD_Bank_POC_USA";"Enabled";"145a0666-0f09-4b9b-9522-3f70695bbd73";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"f3f8dd47-4bd4-4e40-a593-59529107de36";"McCain_POC_Canada";"Enabled";"f3f8dd47-4bd4-4e40-a593-59529107de36";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"628ea7d4-a005-4cfa-bc24-3d426ec6ddf5";"EliLilly_POC_USA";"Enabled";"628ea7d4-a005-4cfa-bc24-3d426ec6ddf5";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"2eaf034e-3dd3-4407-a1fa-2cb8d9198503";"CloudExponence_POC";"Enabled";"2eaf034e-3dd3-4407-a1fa-2cb8d9198503";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"6d0791c0-df6e-4417-a948-0d7b7d512594";"AtlasAir_POC";"Enabled";"6d0791c0-df6e-4417-a948-0d7b7d512594";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"8675ad56-49e4-493a-a456-2a63491e902e";"NEW_GTM_POC";"Enabled";"8675ad56-49e4-493a-a456-2a63491e902e";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"001ef195-8745-4012-8123-3ee6aa04b4a6";"WVD_APAC_POC";"Enabled";"001ef195-8745-4012-8123-3ee6aa04b4a6";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"1986d975-7566-44e5-a781-4ff5db2ab5b8";"Apple_POC_USA";"Enabled";"1986d975-7566-44e5-a781-4ff5db2ab5b8";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"8712f009-8546-45fe-b428-730917f25312";"Albert Heijn_Offer Planning System";"Enabled";"8712f009-8546-45fe-b428-730917f25312";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"37b31c75-f3e2-4bf8-8469-619fa80badd0";"ConnectedAutonomous_POC";"Enabled";"37b31c75-f3e2-4bf8-8469-619fa80badd0";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"a742182c-f2d7-48b6-9074-86991a12a464";"TCS FS Innovation labs and TCS BaNCS for Reconciliations";"Enabled";"a742182c-f2d7-48b6-9074-86991a12a464";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"f4ba0402-ef74-467d-9a75-8090f70f49c3";"CanadaLife_POC";"Enabled";"f4ba0402-ef74-467d-9a75-8090f70f49c3";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"fa631513-4629-4e4c-88ee-2c19ac784c4a";"Microsoft_Hitech_POC";"Enabled";"fa631513-4629-4e4c-88ee-2c19ac784c4a";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"4b0f1982-193a-4dcb-b9d5-a110aeae9f33";"TCS DAEzMo Modern DWH and DL";"Enabled";"4b0f1982-193a-4dcb-b9d5-a110aeae9f33";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"4374ba44-bc89-4505-baed-7094e7567e36";"AUTO1_POC";"Enabled";"4374ba44-bc89-4505-baed-7094e7567e36";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"9dcfe0eb-4791-4a98-8808-7b4a7b391dee";"Multilingual_omnichannel_Europe";"Enabled";"9dcfe0eb-4791-4a98-8808-7b4a7b391dee";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"7b5d48f0-e80b-4663-b7fe-6b454f75080a";"Coga_peru";"Enabled";"7b5d48f0-e80b-4663-b7fe-6b454f75080a";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"23551c02-841b-4840-b8ba-5a1e0c186f04";"IOT_Industry 4.0-ManufacturingPlatform-PredictiveMnt";"Enabled";"23551c02-841b-4840-b8ba-5a1e0c186f04";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"7b41631b-b56a-4ee0-a8d4-78a3f2b94e7a";"ALnertson_POC";"Enabled";"7b41631b-b56a-4ee0-a8d4-78a3f2b94e7a";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"b5a0198e-2547-4331-a3cb-9dc57d2c931f";"Hitachi PG";"Enabled";"b5a0198e-2547-4331-a3cb-9dc57d2c931f";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"d2bc660d-95a1-4bc9-8364-9f4da66de81f";"Bloomberg_Azure Speech to Text API";"Enabled";"d2bc660d-95a1-4bc9-8364-9f4da66de81f";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"e444b97f-426d-44db-90f5-a9e261833428";"Large_Financial_Bank_Australia_POC";"Enabled";"e444b97f-426d-44db-90f5-a9e261833428";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"d6ba9a47-f3dc-4eae-90a0-dacfffc6f781";"MBU_HealthCare_UK";"Enabled";"d6ba9a47-f3dc-4eae-90a0-dacfffc6f781";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"8323377c-76d7-4928-8cc2-cb1f3875037a";"Pladis_UKEUrope_POC";"Enabled";"8323377c-76d7-4928-8cc2-cb1f3875037a";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"c527eb0b-a0d5-4cc2-b6eb-928a20a20c42";"Fundserv_MBU_Modernizedapplications";"Enabled";"c527eb0b-a0d5-4cc2-b6eb-928a20a20c42";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"33944417-eb87-4fd6-8b79-dfdcf8242a38";"BFSI_APAC";"Enabled";"33944417-eb87-4fd6-8b79-dfdcf8242a38";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"a464cfd0-9d4c-4e1a-8d55-db2c7b469b7c";"TCS DAEzMo DataDive";"Enabled";"a464cfd0-9d4c-4e1a-8d55-db2c7b469b7c";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"b2705c45-1ce5-49d0-af11-9fdb0654bef8";"RBC_POC";"Enabled";"b2705c45-1ce5-49d0-af11-9fdb0654bef8";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"5b172d7b-596b-42cf-916e-ee4d46e526ae";"Keysight_POC_USA";"Enabled";"5b172d7b-596b-42cf-916e-ee4d46e526ae";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"6869a544-ac4b-4b86-b8b7-d5820c8a808e";"S/4 Hana Solution";"Enabled";"6869a544-ac4b-4b86-b8b7-d5820c8a808e";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"72561b1d-20b5-4d19-97bd-c030bd3b101e";"MasterCraft_TransformPlus_COSMOS DB";"Enabled";"72561b1d-20b5-4d19-97bd-c030bd3b101e";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
